id,student_id,question_id,topic,subtopic,question_level,answer,date,duration,option_selected
4662,1220,416,18,10,2,1,2020-01-04 15:06:53+00,,
4663,1220,429,18,10,2,0,2020-01-04 15:06:53+00,,
4664,1220,317,18,10,2,0,2020-01-04 15:06:53+00,,
4665,1314,429,18,10,2,0,2020-01-04 15:36:26+00,,
4666,1314,452,18,10,4,0,2020-01-04 15:36:26+00,,
4667,1314,455,18,10,4,0,2020-01-04 15:36:26+00,,
4668,1314,435,18,10,3,1,2020-01-04 15:36:26+00,,
4669,1314,313,18,10,2,1,2020-01-04 15:36:26+00,,
4670,1314,434,18,10,3,1,2020-01-04 15:36:26+00,,
4671,1314,416,18,10,2,0,2020-01-04 15:36:26+00,,
4672,1149,384,18,11,5,1,2020-01-04 15:38:01+00,,
4680,1220,313,18,10,2,0,2020-01-04 17:20:28+00,,
4681,1220,317,18,10,2,0,2020-01-04 17:20:28+00,,
4682,1220,426,18,10,4,0,2020-01-04 17:20:28+00,,
4683,1220,434,18,10,3,0,2020-01-04 17:20:28+00,,
4684,1220,459,18,10,4,0,2020-01-04 17:20:28+00,,
4685,1220,415,18,10,4,0,2020-01-04 17:20:28+00,,
4686,1252,784,18,11,5,0,2020-01-04 17:20:30+00,,
4687,1252,785,18,11,3,1,2020-01-04 17:20:30+00,,
4688,1252,319,18,11,2,0,2020-01-04 17:20:30+00,,
4689,1252,378,18,11,5,1,2020-01-04 17:20:30+00,,
4690,1252,325,18,11,3,0,2020-01-04 17:20:30+00,,
4691,1252,776,18,11,2,1,2020-01-04 17:20:30+00,,
4692,1252,296,18,11,5,1,2020-01-04 17:20:30+00,,
4693,1220,277,18,11,3,0,2020-01-04 17:38:11+00,,
4694,1220,452,18,10,4,0,2020-01-04 17:38:33+00,,
4695,1220,450,18,10,2,0,2020-01-04 17:38:33+00,,
4696,1220,453,18,10,4,1,2020-01-04 17:38:33+00,,
4697,1220,434,18,10,3,0,2020-01-04 17:38:33+00,,
4698,1220,317,18,10,2,0,2020-01-04 17:38:33+00,,
4699,1220,454,18,10,4,0,2020-01-04 17:38:33+00,,
4700,1220,422,18,10,4,1,2020-01-04 17:38:33+00,,
4722,1179,650,18,,1,0,2020-01-04 18:32:04+00,,
4723,1252,434,18,10,3,-1,2020-01-04 18:32:32+00,,
4724,1252,452,18,10,4,-1,2020-01-04 18:32:32+00,,
4725,1252,425,18,10,4,-1,2020-01-04 18:32:32+00,,
4726,1252,435,18,10,3,-1,2020-01-04 18:32:32+00,,
4727,1252,317,18,10,2,1,2020-01-04 18:32:32+00,,
4728,1252,431,18,10,4,0,2020-01-04 18:32:32+00,,
4729,1252,457,18,10,4,1,2020-01-04 18:32:32+00,,
4730,1179,435,18,10,3,0,2020-01-04 18:33:54+00,,
4731,1179,417,18,10,2,1,2020-01-04 18:33:54+00,,
4732,1179,425,18,10,4,0,2020-01-04 18:33:54+00,,
4733,1179,431,18,10,4,0,2020-01-04 18:33:54+00,,
4734,1179,415,18,10,4,1,2020-01-04 18:33:54+00,,
4735,1179,313,18,10,2,1,2020-01-04 18:33:54+00,,
4736,1179,421,18,10,4,0,2020-01-04 18:33:54+00,,
